protocol,track,method,partition,n_samples,n_true,n_fake,macro_f1,balanced_accuracy,precision_fake,recall_fake,f1_fake,fpr_true,accuracy,roc_auc,average_precision,threshold_q95,noise_rate,assignment_coverage,selected,parameters_json,eps_method,cluster_count_train,train_noise_rate,core_count_train,fit_seconds,parameter_name,parameter_value,eps,min_samples,cluster_count,cluster_sizes_json,noise_count,silhouette_cosine_nonnoise,ari,nmi,cluster_composition_json,k,stability_seeds,stability_pairwise_ari,stability_mean_pairwise_ari,selection_rule,validation_silhouette_cosine,core_count,valid,invalid_reason,features,fit_warnings
secondary_temporal_group,novelty_detection,KMeansNovelty,validation,1452.0,726.0,726.0,0.4316698805360217,0.53099173553719,0.6890756302521008,0.11294765840220386,0.1940828402366864,0.05096418732782369,0.53099173553719,0.7281141619045451,0.6705264631064863,2.861291541701276,,,False,"{""k"": 2}",,,,,,k,2.0,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,KMeansNovelty,validation,1452.0,726.0,726.0,0.43901418519686586,0.5351239669421488,0.704,0.12121212121212122,0.20681551116333724,0.05096418732782369,0.5351239669421488,0.7570397817392559,0.6907701258224919,2.4755291092448877,,,False,"{""k"": 4}",,,,,,k,4.0,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,KMeansNovelty,validation,1452.0,726.0,726.0,0.44023007440353623,0.5358126721763086,0.7063492063492064,0.12258953168044077,0.20892018779342722,0.05096418732782369,0.5358126721763086,0.8232408609005153,0.7419871020346718,2.001645334558786,,,True,"{""algorithm"": ""lloyd"", ""init"": ""k-means++"", ""n_clusters"": 8, ""n_init"": 20, ""random_state"": 42}",,,,,,k,8.0,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,IsolationForest,validation,1452.0,726.0,726.0,0.845502300613497,0.8471074380165289,0.9359861591695502,0.7451790633608816,0.8297546012269938,0.05096418732782369,0.8471074380165289,0.9414420311302354,0.9131445278156843,0.10387356043321005,,,True,"{""contamination"": ""auto"", ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",,,,,,n_estimators,300.0,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,LOF,validation,1452.0,726.0,726.0,0.8718405635923574,0.8725895316804408,0.9398373983739837,0.7961432506887053,0.8620432513049963,0.05096418732782369,0.8725895316804407,0.9534004583779189,0.9340787561223917,0.2865530690622269,,,True,"{""algorithm"": ""auto"", ""contamination"": ""auto"", ""metric"": ""minkowski"", ""n_jobs"": 1, ""n_neighbors"": 10, ""novelty"": true, ""p"": 2}",,,,,,n_neighbors,10.0,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,LOF,validation,1452.0,726.0,726.0,0.8179492966222823,0.8209366391184573,0.9314814814814815,0.6928374655647382,0.7946287519747235,0.05096418732782369,0.8209366391184573,0.9474183988646798,0.9263345084896837,0.20666318235371656,,,False,"{""n_neighbors"": 20}",,,,,,n_neighbors,20.0,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,LOF,validation,1452.0,726.0,726.0,0.7381033917878972,0.7486225895316805,0.9149425287356322,0.5482093663911846,0.6856158484065461,0.05096418732782369,0.7486225895316805,0.9361771357451296,0.9064230464120487,0.13364047143263963,,,False,"{""n_neighbors"": 40}",,,,,,n_neighbors,40.0,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,LOF,validation,1452.0,726.0,726.0,0.6204489718920958,0.6535812672176309,0.8754208754208754,0.3581267217630854,0.5083088954056696,0.05096418732782369,0.6535812672176309,0.9146527256031387,0.865445955471453,0.09437314404829994,,,False,"{""n_neighbors"": 80}",,,,,,n_neighbors,80.0,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,OneClassSVM,validation,1452.0,726.0,726.0,0.6781185216377299,0.6983471074380165,0.8977900552486188,0.4476584022038568,0.5974264705882353,0.05096418732782369,0.6983471074380165,0.8133428575765166,0.7897280172827312,-0.0018191737323943746,,,False,"{""nu"": 0.01}",,,,,,nu,0.01,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,OneClassSVM,validation,1452.0,726.0,726.0,0.6494111073232873,0.6756198347107438,0.8875379939209727,0.4022038567493113,0.5535545023696683,0.05096418732782369,0.6756198347107438,0.8349165964680615,0.7974551248560269,0.007433559225473729,,,False,"{""nu"": 0.025}",,,,,,nu,0.025,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,OneClassSVM,validation,1452.0,726.0,726.0,0.5146928316499998,0.5805785123966942,0.806282722513089,0.21212121212121213,0.33587786259541985,0.05096418732782369,0.5805785123966942,0.8622617990574414,0.8041564579400757,0.6707954674691354,,,False,"{""nu"": 0.05}",,,,,,nu,0.05,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,OneClassSVM,validation,1452.0,726.0,726.0,0.4593763863362697,0.546831955922865,0.7394366197183099,0.1446280991735537,0.24193548387096775,0.05096418732782369,0.546831955922865,0.8880607350742586,0.8153857676944016,4.348940299719949,,,True,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1}",,,,,,nu,0.1,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,KMeansNovelty,test,1442.0,721.0,721.0,0.44254667116509216,0.5423023578363384,0.7747747747747747,0.11927877947295423,0.20673076923076922,0.03467406380027739,0.5423023578363384,0.8576805215440876,0.7879040493456286,2.001645334558786,,,True,"{""algorithm"": ""lloyd"", ""init"": ""k-means++"", ""n_clusters"": 8, ""n_init"": 20, ""random_state"": 42}",,,,,,,,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,IsolationForest,test,1442.0,721.0,721.0,0.8574906661512705,0.8592233009708738,0.9608540925266904,0.7489597780859917,0.8417770849571318,0.030513176144244106,0.8592233009708737,0.9828899605841016,0.9740682164393983,0.10387356043321005,,,True,"{""contamination"": ""auto"", ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",,,,,,,,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,LOF,test,1442.0,721.0,721.0,0.9185524293934229,0.9188626907073509,0.9778481012658228,0.8571428571428571,0.9135254988913526,0.019417475728155338,0.9188626907073509,0.9879953678143893,0.9795558368684598,0.2865530690622269,,,True,"{""algorithm"": ""auto"", ""contamination"": ""auto"", ""metric"": ""minkowski"", ""n_jobs"": 1, ""n_neighbors"": 10, ""novelty"": true, ""p"": 2}",,,,,,,,,,,,,,,,,,,,,,,,,,,
